Structure [idcode]	Structure No	Total Molweight	Molweight	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	LE from Structure No	LLE from Structure No	LELP from Structure No	Mutagenic	Tumorigenic	Reproductive Effective	Irritant	Nasty Functions	Shape Index	Molecular Flexibility	Molecular Complexity	Fragments	Non-H Atoms	Non-C/H Atoms	Metal-Atoms	Electronegative Atoms	Stereo Centers	Rotatable Bonds	Rings Closures	Small Rings	Aromatic Rings	Aromatic Atoms	sp3-Atoms	Symmetric atoms	Amides	Amines	Alkyl-Amines	Aromatic Amines	Aromatic Nitrogens	Basic Nitrogens	Acidic Oxygens	Stereo Configuration	
fj}QB@EF\BPrJJIIJGJZIHTiZrVejUjZjj`@@	24	286.349	286.349	286.148141	3.2235	-4.214	3	1	227.22	0.15848	41.46	-1.9527	0.49778	4.3963	6.4757	none	none	none	none	acyl-hydrazone	0.57143	0.25999	0.76251	1	21	4	0	4	0	2	3	3	0	0	7	2	0	0	0	0	0	0	0		
ehZVDH@A@hbn`^G`ICHhheDXddmDeEDddefIG@jimok`XHFJjijXJ`XJ`@@	25	448.501	448.501	448.202302	2.7962	-4.276	8	1	333.68	0.23403	90.79	3.027	0.31603	4.8059	8.8478	none	none	none	low		0.54545	0.43669	0.89063	1	33	9	0	9	0	4	5	5	2	12	9	2	1	0	0	0	2	0	0		
figp`@DDJCNQQJIIKZIJZFITyKPT}FuLuT@PuUQ@@@	26	337.422	337.422	337.179027	3.1246	-3.713	5	1	259.75	0.2025	61.77	2.7659	0.41623	4.4604	7.5069	none	none	none	low		0.52	0.43739	0.83438	1	25	5	0	5	0	3	4	4	1	6	9	2	1	0	0	0	0	0	0		
ebQZLD@A@hbjnNg`IAFPrJJIQFIIKQIQQIZIYFLRNAMS[_PxpPLUUSUKU@pPU@@@	27	493.513	493.513	493.192546	3.0434	-4.235	8	2	357.96	0.2253	94.11	7.6565	0.28842	4.5252	10.552	none	none	none	none		0.52778	0.47667	0.89559	1	36	10	0	10	0	4	5	5	2	12	8	2	2	0	0	0	0	0	0		
el^RLH@A@hbnNg`ICHhheDXddmDeEDehedVIG@jimohTXHFJjijYj`X@j@@@	28	474.534	474.534	474.206719	4.0133	-4.362	7	1	353.91	0.1955	82.08	3.027	0.29605	3.5395	13.556	none	none	none	low		0.54286	0.47065	0.88837	1	35	8	0	8	0	4	5	5	2	12	9	4	2	0	0	0	0	0	0		
egh\L@@DBH`BcdfVUWyV~vUvcbSPII[YjYjh@bZ@Bj@@@	29	403.481	403.481	403.189592	3.7039	-4.879	6	2	315.15	0.22373	79.79	-0.031693	0.34469	3.8337	10.746	none	none	none	low		0.6	0.4573	0.83313	1	30	6	0	6	0	6	4	4	2	12	8	2	1	0	0	0	0	0	0		
fewp`@DDzCNQQJIIKZIJZFJZgIZBd\vifj`BFijb`T`@	30	349.433	349.433	349.179027	2.6303	-4.592	5	1	269.66	0.22458	70.89	0.49015	0.39694	4.8926	6.6264	none	none	none	low		0.53846	0.4434	0.85157	1	26	5	0	5	1	5	4	4	1	6	9	0	0	0	0	0	0	1	0	racemate	
fj}q@@DDbAIeeU~UoirV`iZfZj@Hj`@@	31	283.374	283.374	283.168462	2.6816	-3.744	4	2	227.64	0.20853	53.49	-0.28717	0.49052	4.827	5.4668	none	none	none	low		0.57143	0.4274	0.80497	1	21	4	0	4	0	4	3	3	1	6	7	0	0	1	0	1	0	0	0		
el^\LH@DjfeGdPICHhheEhedlhdhddhedVIGONimohTXHIFjZZijjZhj`@@	32	477.578	477.578	477.242770	3.9179	-5.315	6	2	366.96	0.19215	79.79	-0.10086	0.29377	3.5769	13.337	none	none	none	none		0.54286	0.44008	0.90876	1	35	7	0	7	0	6	5	5	1	6	14	2	0	0	0	0	0	0	0		
edVVLH@AEHdnanO`PICHhheDXdddheDhedldqHtmL\ml}CA@qUUSUTuTlUTBu@@	33	468.531	468.531	468.228517	0.5425	-3.301	9	3	343.59	0.26808	106.14	6.063	0.30187	6.939	1.7971	none	none	none	none		0.5	0.44091	0.90526	1	34	10	0	10	1	3	5	4	1	6	14	0	0	1	1	0	0	1	0	racemate	
fmoHb@EQrWdpRFQQQJHqIIZYQIILdxMVcWA@puUMSTqT@@	34	368.411	368.411	368.164854	1.6717	-4.575	6	2	276.47	0.2605	82.92	1.9965	0.37948	5.7968	4.4053	none	none	none	none		0.51852	0.41198	0.88256	1	27	7	0	7	0	4	4	4	1	6	8	0	0	0	0	0	0	0	0		
ffcIB@BF]xhICHhheETheDddrPXykAAQSTuLT@@	35	302.352	302.352	302.154289	1.5548	-3.293	5	2	229.03	0.22277	56.73	3.7192	0.46494	5.9011	3.3441	none	none	none	none		0.5	0.42176	0.83354	1	22	6	0	6	0	3	3	3	1	6	7	1	0	1	0	1	0	0	0		
ebQZLH@A@hbjnNk`ICHhheDXddmDeEDedmBdqHxDuMl|ccA@qUUMTmUL@AT@@@	36	489.549	489.549	489.217618	2.9407	-3.886	8	2	365.37	0.22074	94.11	7.7039	0.28366	4.503	10.367	none	none	none	none		0.55556	0.48987	0.88637	1	36	9	0	9	0	5	5	5	2	12	9	4	2	0	0	0	0	0	0		
figpb@B^bkhICHhheEheUDhddfRtYIVc``hZiijfJ`@@	37	341.385	341.385	341.153955	2.6539	-4.402	5	1	252.34	0.20845	61.77	0.67371	0.40782	4.7779	6.5075	none	none	none	low		0.48	0.38488	0.86592	1	25	6	0	6	0	3	4	4	1	6	8	0	1	0	0	0	0	0	0		
fcpb@AIKqXLSHhheD]DeBheDddrSoU{O\DCD@EMMTpT@@	38	438.324	438.324	437.073888	4.501	-5.73	5	2	297.76	0.20322	70.56	-2.0081	0.36356	2.9192	12.38	none	none	none	low		0.53571	0.40804	0.85664	1	28	6	0	6	0	4	4	4	2	12	5	0	1	0	0	0	0	0	0		
fnshb@DBmxOJ`dLbbbTRjTRbRRdjJRmijYZZfij`@@	39	317.323	317.323	317.128803	0.8875	-4.589	7	3	233.44	0.33983	99.82	4.4906	0.44192	6.5214	2.0083	none	none	none	none		0.52174	0.51217	0.84087	1	23	8	0	8	0	2	3	3	0	0	4	0	2	0	0	0	0	0	0		
fdeI@@DLTDFQSQQISFQHViJCEhHFJjbhFh@@	40	244.297	244.297	244.132411	0.4953	-1.961	5	3	184.37	0.35109	83.8	2.7776	0.56384	6.9026	0.87844	none	none	none	none		0.5	0.35722	0.83354	1	18	5	0	5	1	2	3	3	2	9	6	0	1	1	1	0	2	2	0	racemate	
fdeq@@DDhAIeeU{yYrV`qZiZjjjjBj@@	41	247.341	247.341	247.168462	1.9029	-3.294	4	2	193.14	0.24578	53.49	4.8628	0.56302	5.4843	3.3798	none	none	none	none		0.55556	0.43581	0.79548	1	18	4	0	4	1	3	3	3	0	0	10	1	0	0	0	0	0	0	0	racemate	
fa{i@@DDEFhDfVUWyVyVgIZBeoVifj`BJjh`@@	42	325.415	325.415	325.190260	1.3713	-3.741	6	3	248.22	0.26706	82.75	6.1884	0.42167	6.0055	3.2521	high	low	none	none		0.5	0.38688	0.83479	1	24	6	0	6	0	3	4	4	1	6	9	2	0	2	0	2	0	0	0		
egh\LH@AHjnCC`ICHhheDThmEDdhledqIdTuMm]A@qSUMTuTqT@@@	43	411.475	411.475	411.195820	3.496	-5.201	6	2	308.51	0.2384	87.63	-0.68762	0.33687	3.8705	10.378	none	none	none	low		0.53333	0.37614	0.8737	1	30	7	0	7	2	4	4	4	1	6	11	0	1	0	0	0	0	0	0	unknown chirality	
e`RRLH@A@hbnNg`ICHhheDXddmDeEDdddqHxEUMm|]]A@qUUMSSUSER@@@	44	436.486	436.486	436.191069	3.4941	-4.938	7	1	325.85	0.21562	78.15	2.6733	0.31538	3.8624	11.079	low	none	none	low		0.53125	0.4389	0.88752	1	32	8	0	8	0	4	5	5	2	11	9	2	1	0	0	0	0	0	0		
ek`\DD@ALjeM`I@bPrJJKKJZIJEQJIIIccpIhYXzB@i`@iijfB`@@	45	395.408	395.408	395.144533	3.9774	-5.524	5	2	291.83	0.20735	70.56	-1.5581	0.34755	3.3694	11.444	none	none	none	low		0.55172	0.41561	0.86255	1	29	7	0	7	0	4	4	4	2	12	5	0	1	0	0	0	0	0	0		
fcHa@LQSmBpQCiCHihdlhdhUDdeDipUoYJN\uUPADuA@t@@@	46	400.840	400.840	400.110231	3.92	-5.871	6	2	286.08	0.2442	92.08	-1.4942	0.35949	3.4172	10.904	high	low	none	low	acyl-halogenide type	0.57143	0.37587	0.87019	1	28	8	0	8	0	3	4	4	3	15	5	2	2	0	0	0	2	1	0		
fdeq@@DLTCHihhdicDdKTeAbtDCD@A@@@	47	237.261	237.261	237.090212	1.9895	-4.061	4	2	182.22	0.29234	71.77	0.5625	0.5585	5.3384	3.5622	none	none	none	none		0.55556	0.31671	0.80188	1	18	4	0	4	0	2	3	3	3	15	0	2	1	0	0	0	2	1	0		
fcHb@GIKWbpRFQQQJHrIKKSJIIIdoQ[v^xHFJjjZfibj@j@@	48	384.454	384.454	384.196154	1.8977	-4.419	6	3	287.63	0.25022	82.59	3.8974	0.35859	5.4211	5.2921	none	none	none	none		0.5	0.46289	0.89091	1	28	7	0	7	1	4	4	4	1	6	11	0	0	1	1	0	0	1	0	racemate	
fa{I@@DLUdFQSQQISFIKJIHViJCEoV``X`@jjHhIH@@	49	320.395	320.395	320.163711	2.5906	-4.664	5	3	247.72	0.2613	83.8	-0.10625	0.41784	4.7192	6.2	none	none	none	none		0.58333	0.37031	0.84087	1	24	5	0	5	1	3	4	4	3	15	6	2	1	1	1	0	2	2	0	racemate	
